applicantName,salutation,gender,email,mobile_numbers,maritalStatus,religion,date_of_birth,disability,nationality,districtOfOrigin,districtOfBirth,placeOfResidence,nationalIdNo,addressVillage,addressSubCounty,addressDistrict
John Doe,Mr.,M,johndoe@gmail.com,256701234567,Single,Christian,1990-01-15,Visual Impairment,Ugandan,Kampala,Kampala,Kampala,CM7901234567UG,Kibuye,Makindye,Kampala
Mary Akena,Ms.,F,maryakena@gmail.com,256712345678,Married,Muslim,1985-03-22,none,Ugandan,Gulu,Gulu,Jinja,CM8902345678UG,Bweyogerere,Kira,Jinja
Samuel Katumba,Mr.,M,samuelkatumba@gmail.com,256723456789,Single,Christian,1992-07-30,none,Ugandan,Arua,Arua,Entebbe,CF9903456789UG,Kitintale,Nakawa,Entebbe
Grace Nakato,Ms.,F,gracenakato@gmail.com,256734567890,Married,Traditional,1988-11-05,none,Ugandan,Mbarara,Mbarara,Mbarara,CM1904567890UG,Nyamityobora,Kamukuzi,Mbarara
Peter Okello,Mr.,M,peterokello@gmail.com,256745678901,Divorced,Christian,1995-06-18,none,Ugandan,Lira,Lira,Gulu,CF2905678901UG,Pece,Pece,Gulu
Anna Babirye,Ms.,F,annababirye@gmail.com,256756789012,Single,Muslim,1980-02-14,none,Ugandan,Jinja,Jinja,Fort Portal,CM3906789012UG,Kasusu,West Division,Fort Portal
James Kato,Mr.,M,jameskato@gmail.com,256767890123,Married,Christian,1993-09-27,none,Ugandan,Mbale,Mbale,Arua,CF4907890123UG,Kuluva,Ayivu,Arua
Sarah Laker,Ms.,F,sarahlaker@gmail.com,256778901234,Divorced,Traditional,1987-12-01,none,Ugandan,Masaka,Masaka,Lira,CM5908901234UG,Adekokwok,Adekokwok,Lira
Josephine Nakaayi,Ms.,F,josephinenakaayi@gmail.com,256789012345,Single,Christian,1991-04-20,Chronic Pain,Ugandan,Fort Portal,Fort Portal,Mbale,CF6949012345UG,Namatala,Northern Division,Mbale
Andrew Obote,Mr.,M,andrewobote@gmail.com,256790123456,Married,Muslim,1986-08-11,none,Ugandan,Hoima,Hoima,Soroti,CM7900123456UG,Kichinjaji,Eastern Division,Soroti
Catherine Alupo,Ms.,F,catherinealupo@gmail.com,256801234567,Single,Christian,1994-05-09,none,Ugandan,Soroti,Soroti,Hoima,CF8901234567UG,Kiryatete,Hoima Central,Hoima
Michael Kintu,Mr.,M,michaelkintu@gmail.com,256812345678,Married,Traditional,1989-10-30,none,Ugandan,Tororo,Tororo,Kasese,CM9902345678UG,Kisinga,Bukonzo,Kasese
Esther Amoding,Ms.,F,estheramoding@gmail.com,256823456789,Divorced,Christian,1996-03-03,none,Ugandan,Kitgum,Luwero,Masaka,CF0903456789UG,Kijjabwemi,Kimanya,Masaka
David Mukasa,Mr.,M,davidmukasa@gmail.com,256834567890,Single,Muslim,1983-07-25,none,Ugandan,Moroto,Mukono,Iganga,CM1909667890UG,Bugumba,Iganga Central,Iganga
Irene Kyomugisha,Ms.,F,irenekyomugisha@gmail.com,256845678901,Married,Christian,1990-12-12,Mental Health Disorders,Ugandan,Bushenyi,Wakiso,Kabale,CF2905678902UG,Kirigime,Northern Division,Kabale
Emmanuel Odoi,Mr.,M,emmanuelodoi@gmail.com,256856789012,Single,Traditional,1982-01-28,none,Ugandan,Kabarole,Nakapiripirit,Tororo,CM3906779013UG,Nyangole,Tororo Municipality,Tororo
Beatrice Nantongo,Ms.,F,beatricenantongo@gmail.com,256867890123,Married,Christian,1995-08-19,none,Ugandan,Kasese,Mityana,Mityana,CF4907890124UG,Kigalama,Busimbi,Mityana
Paul Lumumba,Mr.,M,paullumumba@gmail.com,256878901234,Divorced,Muslim,1984-06-07,none,Ugandan,Iganga,Mayuge,Wakiso,CM5908901235UG,Nakawuka,Wakiso Town Council,Wakiso
Fiona Atim,Ms.,F,fionaatim@gmail.com,256889012345,Single,Christian,1991-11-23,none,Ugandan,Luwero,Kitgum,Mukono,CF6909012346UG,Namanve,Mukono Central,Mukono
Simon Byaruhanga,Mr.,M,simonbyaruhanga@gmail.com,256890123456,Married,Traditional,1987-02-16,none,Ugandan,Mukono,Moroto,Mpigi,CM7900123457UG,Kiringente,Kiringente,Mpigi
Nancy Abbo,Ms.,F,nancyabbo@gmail.com,256901234567,Single,Christian,1993-04-15,none,Ugandan,Wakiso,Bushenyi,Luwero,CF8901234568UG,Zirobwe,Luwero Subcounty,Luwero
Joseph Lukwago,Mr.,M,josephlukwago@gmail.com,256912345678,Divorced,Muslim,1986-09-29,none,Ugandan,Nakapiripirit,Kabarole,Kamuli,CM9902345679UG,Butansi,Butansi,Kamuli
Brenda Nandutu,Ms.,F,brendanandutu@gmail.com,256923456789,Married,Christian,1990-10-05,none,Ugandan,Mityana,Kasese,Pallisa,CF0903456689UG,Kamuge,Kamuge,Pallisa
